Name,Website,Stage,Industry,Tags,Region,Startup HQ,NumOfTags,Funding (USD),CompanySize,Funding_min,rate_percent,Allign with 2030,Funding_Avg,Opportunity_Level,Year of establishment
Sadq,Sadq.sa,Seed,Legal,"AI & Machine Learning,IT Solutions Services",Riyadh,Saudi Arabia,2,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2022
Maak solutions medical company,https://play.google.com/store/apps/details?id=com.maak.app&hl=ar,Seed,"Healthcare,Technology",SaaS,Riyadh,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,0
Jaree | جريء,http://jaree.sa,Pre-Seed,Financial Services,Fintech Infrastructure,Riyadh,Saudi Arabia,0,500K – 2M,Startup / Small,500000000.0,75.6,No,1.25M,Low,2025
Cora,Cora.sa,Pre-Seed,Financial Services,Financial Solution,Riyadh,Saudi Arabia,1,500K – 2M,Startup / Small,500000000.0,75.6,Yes,1.25M,Low,0
Clean Basket,https://apps.apple.com/sa/app/clean-basket/id6497484974,Seed,Technology,APP Dev & PaaS,Riyadh,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,0
Ananas -Digital nutritional solutions,https://annannas.com/,Pre-Seed,"Food & Beverages ,Healthcare","AI & Machine Learning,Affiliate Marketing,E-Commerce",Eastern,Saudi Arabia,3,500K – 2M,Startup / Small,500000000.0,4.97,Yes,1.25M,Low,2024
MENA Cashback,https://www.menacashback.com,Seed,Financial Services,"Affiliate Marketing,E-Commerce,Financial Solution,Loyalty ",Riyadh,Saudi Arabia,4,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,0
Net Zero Build,https://netzerobuild.ai/,Seed,"Real Estate,Environment,Construction","SaaS,Subscription,ClimateTech",Riyadh,Saudi Arabia,3,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,0
DiveXcpe,https://DiveXcape.com,Pre-Seed,"Travel & Tourism,Sports","Consumer Services,E-Commerce,Marketplace,SaaS,Aggregator",Riyadh,Saudi Arabia,5,500K – 2M,Startup / Small,500000000.0,75.6,Yes,1.25M,Low,2023
COGNNA,https://www.cognna.com/,Seed,"Technology ,Defence",Cyber Security ,Riyadh,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2022
SellersHook,sellershook.com,Seed,Technology,"E-Commerce,Marketplace",Riyadh,Saudi Arabia,2,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2022
InteliDexer,intelidexer.com,Seed,"Technology ,Consumer Service ,Professional Service","AI & Machine Learning,APP Dev & PaaS,Cloud Solution ,IT Solutions Services,SaaS,Social Media,X-as-a-service model ,Subscription",Eastern,Saudi Arabia,8,1M – 3M,Startup / Small,1000000.0,4.97,Yes,2.00M,Medium,0
Mata Logistic,https://www.matalogistic.com/,Seed,"Logistics ,Travel & Tourism","AI & Machine Learning,IT Solutions Services,Aggregator",Riyadh,Saudi Arabia,3,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,0
HTI (HealthTech Innovations Company),21Doctors.com,Series A,Healthcare,"AI & Machine Learning,Telehealth ",Riyadh,Saudi Arabia,2,6M – 15M,Startup / Small,6000000.0,75.6,Yes,10.50M,Medium,0
Rasēd,www.rased.ai,Pre-Seed,"Financial Services,Technology","Cyber Security ,AI & Machine Learning",Riyadh,Saudi Arabia,2,500K – 2M,Startup / Small,500000000.0,75.6,Yes,1.25M,Low,0
Thya Technology,https://www.thya-technology.com/,Seed,Technology,"AI & Machine Learning,AgriTech,BioTech,Computer Vision,SaaS,Marketplace",Makkah,Saudi Arabia,6,1M – 3M,Startup / Small,1000000.0,13.68,Yes,2.00M,Medium,0
Halsimplify,Halsimplify.com,Pre-Series A,Technology,SaaS,Riyadh,Saudi Arabia,1,2M – 6M,Startup / Small,2000000.0,75.6,Yes,4.00M,Medium,2014
Nqoodlet,Nqoodlet.com,Series A,Financial Services,Expense Mangement,Riyadh,Saudi Arabia,1,6M – 15M,Startup / Small,6000000.0,75.6,Yes,10.50M,Medium,2021
Digital Move,Digitalmovesa.com,Seed,Media,Advertisement,Makkah,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,13.68,Yes,2.00M,Medium,0
Misraj Technology,https://misraj.sa/,Private Equity,"Technology ,Financial Services,Education","IT Solutions Services,AI & Machine Learning,APP Dev & PaaS",Eastern,Saudi Arabia,3,50M – 500M+,Large,50000000.0,4.97,Yes,275.00M,High,2014
0Plus,https://misraj.sa/,Seed,Technology,SaaS,Eastern,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,4.97,Yes,2.00M,Medium,2014
