Name,Website,Featured,Stage,Industry,Tags,Region,Startup HQ,NumOfTags,Funding (USD),CompanySize,Funding_min,rate_percent,Allign with 2030,Funding_Avg,Opportunity_Level,Year of establishment
Dunes Aero,Dunesaero.com,,Seed,Technology ,"Hardware & loT & Drones,AgriTech,AI & Machine Learning,APP Dev & PaaS,Logistics,Robotics ,SaaS",Makkah,Saudi Arabia,7,1M – 3M,Startup / Small,1000000.0,13.68,Yes,2.00M,Medium,2022
RevYou,https://www.linkedin.com/company/revyou-sa/,,Pre-Seed,Technology ,Advertisement,Makkah,Saudi Arabia,1,500K – 2M,Startup / Small,500000000.0,13.68,Yes,1.25M,Low,2025
AI Atlas Inc.,,,Pre-Seed,Technology ,,Riyadh,Saudi Arabia,0,500K – 2M,Startup / Small,500000000.0,75.6,No,1.25M,Low,
Rabaed,www.rabaedapp.com,,Pre-Seed,"Technology ,Construction",SaaS,Riyadh,Saudi Arabia,1,500K – 2M,Startup / Small,500000000.0,75.6,Yes,1.25M,Low,
Uniex App,https://uniex.tech,,Seed,"Education,Technology ","AI & Machine Learning,E-Learning",Riyadh,Saudi Arabia,2,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,
Beon,Beon.sa,,Pre-Seed,Technology ,"SaaS,Marketplace",Madinah,Saudi Arabia,2,500K – 2M,Startup / Small,500000000.0,2.87,Yes,1.25M,Low,
AISC,https://aisc.sa,,Seed,Construction,"AI & Machine Learning,APP Dev & PaaS,Computer Vision",Riyadh,Saudi Arabia,3,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,
Sadq,Sadq.sa,,Seed,Legal,"AI & Machine Learning,IT Solutions Services",Riyadh,Saudi Arabia,2,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2022
Maak solutions medical company,https://play.google.com/store/apps/details?id=com.maak.app&hl=ar,,Seed,"Healthcare,Technology ",SaaS,Riyadh,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,
Jaree | جريء,http://jaree.sa,,Pre-Seed,Financial Services,,Riyadh,Saudi Arabia,0,500K – 2M,Startup / Small,500000000.0,75.6,No,1.25M,Low,2025
Cora,Cora.sa,,Pre-Seed,Financial Services,Financial Solution,Riyadh,Saudi Arabia,1,500K – 2M,Startup / Small,500000000.0,75.6,Yes,1.25M,Low,
